Nom complet,Pays,Résultat,Sport,Epreuve,Médaille,Position
maciej sarnacki,POL,Unknown,judo,plus-de-100kg-h,NA,=17
vitalina batsarashkina,ROC,Unknown,tir,10m-pistolet-air-femme,Gold,1
antoaneta boneva,BUL,Unknown,tir,10m-pistolet-air-femme,Silver,2
ranxin jiang,CHN,Unknown,tir,10m-pistolet-air-femme,Bronze,3
olena kostevych,UKR,Unknown,tir,10m-pistolet-air-femme,NA,4
yuemei lin,CHN,Unknown,tir,10m-pistolet-air-femme,NA,5
anna korakaki,GRE,Unknown,tir,10m-pistolet-air-femme,NA,6
mathilde lamolle,FRA,Unknown,tir,10m-pistolet-air-femme,NA,7
celine goberville,FRA,Unknown,tir,10m-pistolet-air-femme,NA,8
anudari tsolmonbaatar,MGL,Unknown,tir,10m-pistolet-air-femme,NA,9
haniyeh rostamiyan,IRI,Unknown,tir,10m-pistolet-air-femme,NA,10
viktoria chaika,BLR,Unknown,tir,10m-pistolet-air-femme,NA,11
manu bhaker,IND,Unknown,tir,10m-pistolet-air-femme,NA,12
yashaswini singh deswal,IND,Unknown,tir,10m-pistolet-air-femme,NA,13
chia ying wu,TPE,Unknown,tir,10m-pistolet-air-femme,NA,14
sylvia steiner,AUT,Unknown,tir,10m-pistolet-air-femme,NA,15
gaeun choo,KOR,Unknown,tir,10m-pistolet-air-femme,NA,16
zorana arunovic,SRB,Unknown,tir,10m-pistolet-air-femme,NA,17
elmira karapetyan,ARM,Unknown,tir,10m-pistolet-air-femme,NA,18
agate rasmane,LAT,Unknown,tir,10m-pistolet-air-femme,NA,19
carina wimmer,GER,Unknown,tir,10m-pistolet-air-femme,NA,20
klaudia bres,POL,Unknown,tir,10m-pistolet-air-femme,NA,21
tanyaporn prucksakorn,THA,Unknown,tir,10m-pistolet-air-femme,NA,22
satoko yamada,JPN,Unknown,tir,10m-pistolet-air-femme,NA,23
bomi kim,KOR,Unknown,tir,10m-pistolet-air-femme,NA,24
olfa charni,TUN,Unknown,tir,10m-pistolet-air-femme,NA,25
eleanor bezzina,MLT,Unknown,tir,10m-pistolet-air-femme,NA,26
elena galiabovitch,AUS,Unknown,tir,10m-pistolet-air-femme,NA,27
heidi diethelm gerber,SUI,Unknown,tir,10m-pistolet-air-femme,NA,28
monika karsch,GER,Unknown,tir,10m-pistolet-air-femme,NA,29
gundegmaa otryad,MGL,Unknown,tir,10m-pistolet-air-femme,NA,30
nino salukvadze,GEO,Unknown,tir,10m-pistolet-air-femme,NA,31
laina perez,CUB,Unknown,tir,10m-pistolet-air-femme,NA,32
jasmina milovanovic,SRB,Unknown,tir,10m-pistolet-air-femme,NA,33
veronika major,HUN,Unknown,tir,10m-pistolet-air-femme,NA,34
margarita lomova,ROC,Unknown,tir,10m-pistolet-air-femme,NA,35
andrea perez pena,ECU,Unknown,tir,10m-pistolet-air-femme,NA,36
manuela delilaj,ALB,Unknown,tir,10m-pistolet-air-femme,NA,37
alexis lagan,USA,Unknown,tir,10m-pistolet-air-femme,NA,38
naphaswan yangpaiboon,THA,Unknown,tir,10m-pistolet-air-femme,NA,39
radwa abdel latif,EGY,Unknown,tir,10m-pistolet-air-femme,NA,40
hala elgohari,EGY,Unknown,tir,10m-pistolet-air-femme,NA,41
chia chen tien,TPE,Unknown,tir,10m-pistolet-air-femme,NA,42
maria grozdeva,BUL,Unknown,tir,10m-pistolet-air-femme,NA,43
asma abu rabee,JOR,Unknown,tir,10m-pistolet-air-femme,NA,44
diana durango flores,ECU,Unknown,tir,10m-pistolet-air-femme,NA,45
dina aspandiyarova,AUS,Unknown,tir,10m-pistolet-air-femme,NA,46
lynda kiejko,CAN,Unknown,tir,10m-pistolet-air-femme,NA,47
anna dulce,MDA,Unknown,tir,10m-pistolet-air-femme,NA,48
sandra uptagrafft,USA,Unknown,tir,10m-pistolet-air-femme,NA,49
chizuru sasaki,JPN,Unknown,tir,10m-pistolet-air-femme,NA,50
fatimah abbas waheeb al-kaabi,IRQ,Unknown,tir,10m-pistolet-air-femme,NA,51
yasameen al-raimi,YEM,Unknown,tir,10m-pistolet-air-femme,NA,52
jelena pantovic,MNE,Unknown,tir,10m-pistolet-air-femme,NA,53
sofia pozdniakova,ROC,Unknown,escrime,sabre-individuel-f,Gold,1
sofiya velikaya,ROC,Unknown,escrime,sabre-individuel-f,Silver,2
manon brunet,FRA,Unknown,escrime,sabre-individuel-f,Bronze,3
anna marton,HUN,Unknown,escrime,sabre-individuel-f,NA,4
mariel zagunis,USA,Unknown,escrime,sabre-individuel-f,NA,5
jiarui qian,CHN,Unknown,escrime,sabre-individuel-f,NA,6
olga nikitina,ROC,Unknown,escrime,sabre-individuel-f,NA,7
zaynab dayibekova,UZB,Unknown,escrime,sabre-individuel-f,NA,8
liza pusztai,HUN,Unknown,escrime,sabre-individuel-f,NA,9
jiyeon kim,KOR,Unknown,escrime,sabre-individuel-f,NA,10
jisu yoon,KOR,Unknown,escrime,sabre-individuel-f,NA,11
irene vecchi,ITA,Unknown,escrime,sabre-individuel-f,NA,12
misaki emura,JPN,Unknown,escrime,sabre-individuel-f,NA,13
sooyeon choi,KOR,Unknown,escrime,sabre-individuel-f,NA,14
anna bashta,AZE,Unknown,escrime,sabre-individuel-f,NA,15
hengyu yang,CHN,Unknown,escrime,sabre-individuel-f,NA,16
olga kharlan,UKR,Unknown,escrime,sabre-individuel-f,NA,17
yaqi shao,CHN,Unknown,escrime,sabre-individuel-f,NA,18
anne-elizabeth stone,USA,Unknown,escrime,sabre-individuel-f,NA,19
cecilia berder,FRA,Unknown,escrime,sabre-individuel-f,NA,20
theodora gkountoura,GRE,Unknown,escrime,sabre-individuel-f,NA,21
charlotte lembach,FRA,Unknown,escrime,sabre-individuel-f,NA,22
rossella gregorio,ITA,Unknown,escrime,sabre-individuel-f,NA,23
martina criscio,ITA,Unknown,escrime,sabre-individuel-f,NA,24
dagmara wozniak,USA,Unknown,escrime,sabre-individuel-f,NA,25
norika tamura,JPN,Unknown,escrime,sabre-individuel-f,NA,26
gabriella page,CAN,Unknown,escrime,sabre-individuel-f,NA,27
amira ben chaabane,TUN,Unknown,escrime,sabre-individuel-f,NA,28
nada hafez,EGY,Unknown,escrime,sabre-individuel-f,NA,29
maria belen perez maurice,ARG,Unknown,escrime,sabre-individuel-f,NA,30
bhavani devi chadalavada anandha sundhararaman,IND,Unknown,escrime,sabre-individuel-f,NA,31
renata katona,HUN,Unknown,escrime,sabre-individuel-f,NA,32
chika aoki,JPN,Unknown,escrime,sabre-individuel-f,NA,33
yasmine daghfous,TUN,Unknown,escrime,sabre-individuel-f,NA,34
kaouther mohamed belkebir,ALG,Unknown,escrime,sabre-individuel-f,NA,35
nadia ben azizi,TUN,Unknown,escrime,sabre-individuel-f,NA,36
rebeca andrade,BRA,Résultats:15.083,gymnastique-artistique,saut-de-cheval-f,Gold,1
mykayla skinner,USA,Résultats:14.916,gymnastique-artistique,saut-de-cheval-f,Silver,2
seojeong yeo,KOR,Résultats:14.733,gymnastique-artistique,saut-de-cheval-f,Bronze,3
alexa moreno,MEX,Résultats:14.716,gymnastique-artistique,saut-de-cheval-f,NA,4
angelina melnikova,ROC,Résultats:14.683,gymnastique-artistique,saut-de-cheval-f,NA,5
liliia akhaimova,ROC,Résultats:14.666,gymnastique-artistique,saut-de-cheval-f,NA,6
shallon olsen,CAN,Résultats:14.550,gymnastique-artistique,saut-de-cheval-f,NA,7
jade carey,USA,Résultats:12.416,gymnastique-artistique,saut-de-cheval-f,NA,8
zavur uguev,ROC,Résultats:12,lutte,libre-57kg-h,Gold,1
ravi kumar dahiya,IND,Résultats:14,lutte,libre-57kg-h,Silver,2
nurislam sanayev,KAZ,Résultats:9,lutte,libre-57kg-h,Bronze,3
thomas patrick gilman,USA,Résultats:8,lutte,libre-57kg-h,Bronze,3
georgi valentinov vangelov,BUL,Résultats:12,lutte,libre-57kg-h,NA,=5
reza atrinagharchi,IRI,Résultats:8,lutte,libre-57kg-h,NA,=5
gulomjon abdullaev,UZB,Résultats:5,lutte,libre-57kg-h,NA,7
yuki takahashi,JPN,Résultats:4,lutte,libre-57kg-h,NA,8
bekhbayar erdenebat,MGL,Résultats:4,lutte,libre-57kg-h,NA,9
oscar eduardo tigreros urbano,COL,Résultats:1,lutte,libre-57kg-h,NA,10
suleyman atli,TUR,Résultats:1,lutte,libre-57kg-h,NA,11
minghu liu,CHN,Résultats:1,lutte,libre-57kg-h,NA,12
arsen harutyunyan,ARM,Résultats:1,lutte,libre-57kg-h,NA,13
stevan andria micic,SRB,Résultats:0,lutte,libre-57kg-h,NA,14
diamantino iuna fafe,GBS,Résultats:0,lutte,libre-57kg-h,NA,15
abdelhak kherbache,ALG,Résultats:0,lutte,libre-57kg-h,NA,16
fintan mc carthy,IRL,Unknown,aviron,deux-de-couple-poids-legers-h,Gold,1
paul odonovan,IRL,Unknown,aviron,deux-de-couple-poids-legers-h,Gold,1
jason osborne,GER,Unknown,aviron,deux-de-couple-poids-legers-h,Silver,2
jonathan rommelmann,GER,Unknown,aviron,deux-de-couple-poids-legers-h,Silver,2
pietro ruta,ITA,Unknown,aviron,deux-de-couple-poids-legers-h,Bronze,3
stefano oppo,ITA,Unknown,aviron,deux-de-couple-poids-legers-h,Bronze,3
miroslav vrastil jr,CZE,Unknown,aviron,deux-de-couple-poids-legers-h,NA,4
jiri simanek,CZE,Unknown,aviron,deux-de-couple-poids-legers-h,NA,4
niels van zandweghe,BEL,Unknown,aviron,deux-de-couple-poids-legers-h,NA,5
tim brys,BEL,Unknown,aviron,deux-de-couple-poids-legers-h,NA,5
felipe kluver ferreira,URU,Unknown,aviron,deux-de-couple-poids-legers-h,NA,6
bruno cetraro berriolo,URU,Unknown,aviron,deux-de-couple-poids-legers-h,NA,6
manel balastegui,ESP,Unknown,aviron,deux-de-couple-poids-legers-h,NA,7
caetano horta pombo,ESP,Unknown,aviron,deux-de-couple-poids-legers-h,NA,7
artur mikolajczewski,POL,Unknown,aviron,deux-de-couple-poids-legers-h,NA,8
jerzy kowalski,POL,Unknown,aviron,deux-de-couple-poids-legers-h,NA,8
igor khmara,UKR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,9
stanislav kovalov,UKR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,9
patrick keane,CAN,Unknown,aviron,deux-de-couple-poids-legers-h,NA,10
maxwell lattimer,CAN,Unknown,aviron,deux-de-couple-poids-legers-h,NA,10
arjun lal jat,IND,Unknown,aviron,deux-de-couple-poids-legers-h,NA,11
arvind singh,IND,Unknown,aviron,deux-de-couple-poids-legers-h,NA,11
are strandli,NOR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,12
kristoffer brun,NOR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,12
pedro fraga,POR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,13
afonso costa,POR,Unknown,aviron,deux-de-couple-poids-legers-h,NA,13
eber sanhueza,CHI,Unknown,aviron,deux-de-couple-poids-legers-h,NA,14
cesar abaroa,CHI,Unknown,aviron,deux-de-couple-poids-legers-h,NA,14
cesar amaris fernandez,VEN,Unknown,aviron,deux-de-couple-poids-legers-h,NA,15
jose guipe,VEN,Unknown,aviron,deux-de-couple-poids-legers-h,NA,15
shakhboz kholmurzaev,UZB,Unknown,aviron,deux-de-couple-poids-legers-h,NA,16
sobirjon safaroliyev,UZB,Unknown,aviron,deux-de-couple-poids-legers-h,NA,16
sid ali boudina,ALG,Unknown,aviron,deux-de-couple-poids-legers-h,NA,17
kamel ait daoud,ALG,Unknown,aviron,deux-de-couple-poids-legers-h,NA,17
nawamin deenoi,THA,Unknown,aviron,deux-de-couple-poids-legers-h,NA,18
siwakorn wongpin,THA,Unknown,aviron,deux-de-couple-poids-legers-h,NA,18
sifan hassan,NED,Résultats:29:55.32,athletisme,10000m-f,Gold,1
kalkidan gezahegne,BRN,Résultats:29:56.18,athletisme,10000m-f,Silver,2
letesenbet gidey,ETH,Résultats:30:01.72,athletisme,10000m-f,Bronze,3
hellen onsando obiri,KEN,Résultats:30:24.27,athletisme,10000m-f,NA,4
francine niyonsaba,BDI,Résultats:30:41.93,athletisme,10000m-f,NA,5
irene chepet cheptai,KEN,Résultats:30:44.00,athletisme,10000m-f,NA,6
ririka hironaka,JPN,Résultats:31:00.71,athletisme,10000m-f,NA,7
konstanze klosterhalfen,GER,Résultats:31:01.97,athletisme,10000m-f,NA,8
eilish mccolgan,GBR,Résultats:31:04.46,athletisme,10000m-f,NA,9
emily sisson,USA,Résultats:31:09.58,athletisme,10000m-f,NA,10
yasemin can,TUR,Résultats:31:10.05,athletisme,10000m-f,NA,11
karissa schweizer,USA,Résultats:31:19.96,athletisme,10000m-f,NA,12
alicia monson,USA,Résultats:31:21.36,athletisme,10000m-f,NA,13
andrea seccafien,CAN,Résultats:31:36.36,athletisme,10000m-f,NA,14
dolshi tesfu,ERI,Résultats:31:37.98,athletisme,10000m-f,NA,15
sheila chelangat,KEN,Résultats:31:48.23,athletisme,10000m-f,NA,16
jessica judd,GBR,Résultats:31:56.80,athletisme,10000m-f,NA,17
meraf bahta,SWE,Résultats:32:10.49,athletisme,10000m-f,NA,18
camille buscomb,NZL,Résultats:32:10.49,athletisme,10000m-f,NA,19
dominique scott,RSA,Résultats:32:14.05,athletisme,10000m-f,NA,20
hitomi niiya,JPN,Résultats:32:23.87,athletisme,10000m-f,NA,21
yuka ando,JPN,Résultats:32:40.77,athletisme,10000m-f,NA,22
selamawit teferi,ISR,Résultats:32:46.46,athletisme,10000m-f,NA,23
mercyline chelangat,UGA,Résultats:33:10.90,athletisme,10000m-f,NA,24
tsigie gebreselama,ETH,Résultats:N'a pas terminé,athletisme,10000m-f,NA,Non classé
karoline bjerkeli grovdal,NOR,Résultats:N'a pas terminé,athletisme,10000m-f,NA,Non classé
susan kuijken,NED,Résultats:N'a pas terminé,athletisme,10000m-f,NA,Non classé
sarah lahti,SWE,Résultats:N'a pas terminé,athletisme,10000m-f,NA,Non classé
tsehay gemechu,ETH,Résultats:Disqualifié,athletisme,10000m-f,NA,Non classé
caeleb dressel,USA,Résultats:47.02,natation,100m-nage-libre-h,Gold,1
kyle chalmers,AUS,Résultats:47.08,natation,100m-nage-libre-h,Silver,2
kliment kolesnikov,ROC,Résultats:47.44,natation,100m-nage-libre-h,Bronze,3
maxime grousset,FRA,Résultats:47.72,natation,100m-nage-libre-h,NA,4
sunwoo hwang,KOR,Résultats:47.82,natation,100m-nage-libre-h,NA,5
alessandro miressi,ITA,Résultats:47.86,natation,100m-nage-libre-h,NA,6
david popovici,ROU,Résultats:48.04,natation,100m-nage-libre-h,NA,7
nandor nemeth,HUN,Résultats:48.10,natation,100m-nage-libre-h,NA,8
kahena kunze,BRA,Résultats:76,voile,49er-fx-f,Gold,1
martine grael,BRA,Résultats:76,voile,49er-fx-f,Gold,1
tina lutz,GER,Résultats:83,voile,49er-fx-f,Silver,2
susann beucke,GER,Résultats:83,voile,49er-fx-f,Silver,2
annette duetz,NED,Résultats:88,voile,49er-fx-f,Bronze,3
annemiek bekkering,NED,Résultats:88,voile,49er-fx-f,Bronze,3
paula barcelo martin,ESP,Résultats:89,voile,49er-fx-f,NA,4
tamara echegoyen dominguez,ESP,Résultats:89,voile,49er-fx-f,NA,4
maria branz,ARG,Résultats:90,voile,49er-fx-f,NA,5
victoria travascio,ARG,Résultats:90,voile,49er-fx-f,NA,5
saskia tidey,GBR,Résultats:95,voile,49er-fx-f,NA,6
charlotte dobson,GBR,Résultats:95,voile,49er-fx-f,NA,6
marie roenningen,NOR,Résultats:100,voile,49er-fx-f,NA,7
helene naess,NOR,Résultats:100,voile,49er-fx-f,NA,7
marie thusgaard olsen,DEN,Résultats:106,voile,49er-fx-f,NA,8
ida marie baad nielsen,DEN,Résultats:106,voile,49er-fx-f,NA,8
albane dubois,FRA,Résultats:111,voile,49er-fx-f,NA,9
lili sebesi,FRA,Résultats:111,voile,49er-fx-f,NA,9
kimberly lim,SGP,Résultats:117,voile,49er-fx-f,NA,10
cecilia low,SGP,Résultats:117,voile,49er-fx-f,NA,10
stephanie roble,USA,Résultats:101,voile,49er-fx-f,NA,11
maggie shea,USA,Résultats:101,voile,49er-fx-f,NA,11
molly meech,NZL,Résultats:101,voile,49er-fx-f,NA,12
alex maloney,NZL,Résultats:101,voile,49er-fx-f,NA,12
tess lloyd,AUS,Résultats:109,voile,49er-fx-f,NA,13
jaime ryan,AUS,Résultats:109,voile,49er-fx-f,NA,13
isaura maenhaut van lemberge,BEL,Résultats:121,voile,49er-fx-f,NA,14
anouk geurts,BEL,Résultats:121,voile,49er-fx-f,NA,14
kinga loboda,POL,Résultats:128,voile,49er-fx-f,NA,15
aleksandra melzacka,POL,Résultats:128,voile,49er-fx-f,NA,15
mariah millen,CAN,Résultats:138,voile,49er-fx-f,NA,16
alexandra ten hove,CAN,Résultats:138,voile,49er-fx-f,NA,16
lorena abicht,AUT,Résultats:143,voile,49er-fx-f,NA,17
tanja frank,AUT,Résultats:143,voile,49er-fx-f,NA,17
anna yamazaki,JPN,Résultats:149,voile,49er-fx-f,NA,18
sena takano,JPN,Résultats:149,voile,49er-fx-f,NA,18
shasha chen,CHN,Résultats:171,voile,49er-fx-f,NA,19
ye jin,CHN,Résultats:171,voile,49er-fx-f,NA,19
maria pia van oordt lopez,PER,Résultats:174,voile,49er-fx-f,NA,20
diana tudela ballon,PER,Résultats:174,voile,49er-fx-f,NA,20
sarra guezguez,TUN,Résultats:234,voile,49er-fx-f,NA,21
eya guezguez,TUN,Résultats:234,voile,49er-fx-f,NA,21
ana marcela cunha,BRA,Résultats:1:59:30.8,marathon-de-natation,10km-f,Gold,1
sharon van rouwendaal,NED,Résultats:1:59:31.7,marathon-de-natation,10km-f,Silver,2
kareena lee,AUS,Résultats:1:59:32.5,marathon-de-natation,10km-f,Bronze,3
anna olasz,HUN,Résultats:1:59:34.8,marathon-de-natation,10km-f,NA,4
leonie antonia beck,GER,Résultats:1:59:35.1,marathon-de-natation,10km-f,NA,5
haley anderson,USA,Résultats:1:59:36.9,marathon-de-natation,10km-f,NA,6
ashley twichell,USA,Résultats:1:59:37.9,marathon-de-natation,10km-f,NA,7
xin xin,CHN,Résultats:2:00:10.1,marathon-de-natation,10km-f,NA,8
lara grangeon,FRA,Résultats:2:00:57.3,marathon-de-natation,10km-f,NA,9
finnia wunram,GER,Résultats:2:01:01.9,marathon-de-natation,10km-f,NA,10
samantha arevalo,ECU,Résultats:2:01:30.6,marathon-de-natation,10km-f,NA,11
cecilia biagioli,ARG,Résultats:2:01:31.7,marathon-de-natation,10km-f,NA,12
yumi kida,JPN,Résultats:2:01:40.9,marathon-de-natation,10km-f,NA,13
rachele bruni,ITA,Résultats:2:02:10.2,marathon-de-natation,10km-f,NA,14
anastasiia kirpichnikova,ROC,Résultats:2:03:17.5,marathon-de-natation,10km-f,NA,15
paula ruiz bravo,ESP,Résultats:2:03:17.6,marathon-de-natation,10km-f,NA,16
angelica andre,POR,Résultats:2:04:40.7,marathon-de-natation,10km-f,NA,17
kate sanderson,CAN,Résultats:2:04:59.1,marathon-de-natation,10km-f,NA,18
alice dearing,GBR,Résultats:2:05:03.2,marathon-de-natation,10km-f,NA,19
paola perez,VEN,Résultats:2:05:45.0,marathon-de-natation,10km-f,NA,20
michelle weber,RSA,Résultats:2:06:56.5,marathon-de-natation,10km-f,NA,21
krystyna panchishko,UKR,Résultats:2:07:35.1,marathon-de-natation,10km-f,NA,22
li-shan chantal liew,SGP,Résultats:2:08:17.9,marathon-de-natation,10km-f,NA,23
spela perse,SLO,Résultats:2:08:33.0,marathon-de-natation,10km-f,NA,24
souad nefissa cherouati,ALG,Résultats:2:17:21.6,marathon-de-natation,10km-f,NA,25
yui ohashi,JPN,Résultats:2:08.52,natation,200m-4-nages-individuel-f,Gold,1
alex walsh,USA,Résultats:2:08.65,natation,200m-4-nages-individuel-f,Silver,2
kate douglass,USA,Résultats:2:09.04,natation,200m-4-nages-individuel-f,Bronze,3
abbie wood,GBR,Résultats:2:09.15,natation,200m-4-nages-individuel-f,NA,4
yiting yu,CHN,Résultats:2:09.57,natation,200m-4-nages-individuel-f,NA,5
sydney pickrem,CAN,Résultats:2:10.05,natation,200m-4-nages-individuel-f,NA,6
katinka hosszu,HUN,Résultats:2:12.38,natation,200m-4-nages-individuel-f,NA,7
alicia wilson,GBR,Résultats:2:12.86,natation,200m-4-nages-individuel-f,NA,8
matthew walls,GBR,Résultats:153,cyclisme-sur-piste,omnium-h,Gold,1
campbell stewart,NZL,Résultats:129,cyclisme-sur-piste,omnium-h,Silver,2
elia viviani,ITA,Résultats:124,cyclisme-sur-piste,omnium-h,Bronze,3
benjamin thomas,FRA,Résultats:118,cyclisme-sur-piste,omnium-h,NA,4
niklas larsen,DEN,Résultats:113,cyclisme-sur-piste,omnium-h,NA,5
jan-willem van schip,NED,Résultats:112,cyclisme-sur-piste,omnium-h,NA,6
thery schir,SUI,Résultats:109,cyclisme-sur-piste,omnium-h,NA,7
gavin hoover,USA,Résultats:99,cyclisme-sur-piste,omnium-h,NA,8
roger kluge,GER,Résultats:91,cyclisme-sur-piste,omnium-h,NA,9
albert torres barcelo,ESP,Résultats:84,cyclisme-sur-piste,omnium-h,NA,10
sam welsford,AUS,Résultats:79,cyclisme-sur-piste,omnium-h,NA,11
yauheni karaliok,BLR,Résultats:76,cyclisme-sur-piste,omnium-h,NA,12
kenny de ketele,BEL,Résultats:70,cyclisme-sur-piste,omnium-h,NA,13
artyom zakharov,KAZ,Résultats:62,cyclisme-sur-piste,omnium-h,NA,14
eiya hashimoto,JPN,Résultats:54,cyclisme-sur-piste,omnium-h,NA,15
szymon wojciech sajnok,POL,Résultats:48,cyclisme-sur-piste,omnium-h,NA,16
mark downey,IRL,Résultats:18,cyclisme-sur-piste,omnium-h,NA,17
andreas mueller,AUT,Résultats:8,cyclisme-sur-piste,omnium-h,NA,18
david maree,RSA,Résultats:-17,cyclisme-sur-piste,omnium-h,NA,19
christos volikakis,GRE,Résultats:N'a pas terminé,cyclisme-sur-piste,omnium-h,NA,Non classé
hidilyn diaz,PHI,Résultats:224,halterophilie,55kg-f,Gold,1
qiuyun liao,CHN,Résultats:223,halterophilie,55kg-f,Silver,2
zulfiya chinshanlo,KAZ,Résultats:213,halterophilie,55kg-f,Bronze,3
muattar nabieva,UZB,Résultats:212,halterophilie,55kg-f,NA,4
kamila konotop,UKR,Résultats:206,halterophilie,55kg-f,NA,5
kristina shermetova,TKM,Résultats:205,halterophilie,55kg-f,NA,6
eunji ham,KOR,Résultats:201,halterophilie,55kg-f,NA,7
nouha landoulsi,TUN,Résultats:196,halterophilie,55kg-f,NA,8
ana gabriela lopez ferrer,MEX,Résultats:195,halterophilie,55kg-f,NA,9
joanna lochowska,POL,Résultats:186,halterophilie,55kg-f,NA,10
kanae yagi,JPN,Résultats:183,halterophilie,55kg-f,NA,11
rachel leblanc-bazinet,CAN,Résultats:181,halterophilie,55kg-f,NA,12
nien-hsin chiang,TPE,Résultats:176,halterophilie,55kg-f,NA,13
mary lifu,SOL,Résultats:154,halterophilie,55kg-f,NA,14
zhiyong shi,CHN,Résultats:364,halterophilie,73kg-h,Gold,1
julio ruben mayora pernia,VEN,Résultats:346,halterophilie,73kg-h,Silver,2
rahmat erwin abdullah,INA,Résultats:342,halterophilie,73kg-h,Bronze,3
briken calja,ALB,Résultats:341,halterophilie,73kg-h,NA,4
bozhidar dimitrov andreev,BUL,Résultats:338,halterophilie,73kg-h,NA,5
karem ben hnia,TUN,Résultats:338,halterophilie,73kg-h,NA,6
masanori miyamoto,JPN,Résultats:335,halterophilie,73kg-h,NA,7
marin robu,MDA,Résultats:330,halterophilie,73kg-h,NA,8
clarence cummings jr,USA,Résultats:325,halterophilie,73kg-h,NA,9
david sanchez lopez,ESP,Résultats:323,halterophilie,73kg-h,NA,10
jorge adan cardenas estrada,MEX,Résultats:320,halterophilie,73kg-h,NA,11
mahmoud mohammed s alhumayd,KSA,Résultats:306,halterophilie,73kg-h,NA,12
brandon dean wakeling,AUS,Résultats:291,halterophilie,73kg-h,NA,13
abderrahim moum,MAR,Résultats:278,halterophilie,73kg-h,NA,14
katie ledecky,USA,Résultats:8:12.57,natation,800m-nage-libre-f,Gold,1
ariarne titmus,AUS,Résultats:8:13.83,natation,800m-nage-libre-f,Silver,2
simona quadarella,ITA,Résultats:8:18.35,natation,800m-nage-libre-f,Bronze,3
katie grimes,USA,Résultats:8:19.38,natation,800m-nage-libre-f,NA,4
jianjiahe wang,CHN,Résultats:8:21.93,natation,800m-nage-libre-f,NA,5
kiah melverton,AUS,Résultats:8:22.25,natation,800m-nage-libre-f,NA,6
sarah kohler,GER,Résultats:8:24.56,natation,800m-nage-libre-f,NA,7
anastasiia kirpichnikova,ROC,Résultats:8:26.30,natation,800m-nage-libre-f,NA,8
ítalo ferreira,BRA,Unknown,surf,homme,Gold,1
kanoa igarashi,JPN,Unknown,surf,homme,Silver,2
owen wright,AUS,Unknown,surf,homme,Bronze,3
gabriel medina,BRA,Unknown,surf,homme,NA,4
kolohe andino,USA,Unknown,surf,homme,NA,=5
michel bourez,FRA,Unknown,surf,homme,NA,=5
lucca null,PER,Unknown,surf,homme,NA,=5
hiroto ohhara,JPN,Unknown,surf,homme,NA,=5
ramzi boukhiam,MAR,Unknown,surf,homme,NA,=9
leonardo fioravanti,ITA,Unknown,surf,homme,NA,=9
john john florence,USA,Unknown,surf,homme,NA,=9
jeremy flores,FRA,Unknown,surf,homme,NA,=9
billy stairmand,NZL,Unknown,surf,homme,NA,=9
miguel tudela,PER,Unknown,surf,homme,NA,=9
rio waida,INA,Unknown,surf,homme,NA,=9
julian wilson,AUS,Unknown,surf,homme,NA,=9
leon glatzer,GER,Unknown,surf,homme,NA,=17
manuel selman,CHI,Unknown,surf,homme,NA,=17
leandro usuna,ARG,Unknown,surf,homme,NA,19
carlos munoz,CRC,Unknown,surf,homme,NA,Non classé
meng chen,CHN,Unknown,tennis-de-table,simple-f,Gold,1
yingsha sun,CHN,Unknown,tennis-de-table,simple-f,Silver,2
mima ito,JPN,Unknown,tennis-de-table,simple-f,Bronze,3
mengyu yu,SGP,Unknown,tennis-de-table,simple-f,NA,4
hoi kem doo,HKG,Unknown,tennis-de-table,simple-f,NA,=5
ying han,GER,Unknown,tennis-de-table,simple-f,NA,=5
kasumi ishikawa,JPN,Unknown,tennis-de-table,simple-f,NA,=5
jihee jeon,KOR,Unknown,tennis-de-table,simple-f,NA,=5
szu-yu chen,TPE,Unknown,tennis-de-table,simple-f,NA,=9
britt eerland,NED,Unknown,tennis-de-table,simple-f,NA,=9
tianwei feng,SGP,Unknown,tennis-de-table,simple-f,NA,=9
jia liu,AUT,Unknown,tennis-de-table,simple-f,NA,=9
juan liu,USA,Unknown,tennis-de-table,simple-f,NA,=9
sofia polcanova,AUT,Unknown,tennis-de-table,simple-f,NA,=9
suthasini sawettabut,THA,Unknown,tennis-de-table,simple-f,NA,=9
mo zhang,CAN,Unknown,tennis-de-table,simple-f,NA,=9
manika batra,IND,Unknown,tennis-de-table,simple-f,NA,=17
i-ching cheng,TPE,Unknown,tennis-de-table,simple-f,NA,=17
adriana diaz,PUR,Unknown,tennis-de-table,simple-f,NA,=17
jian fang lay,AUS,Unknown,tennis-de-table,simple-f,NA,=17
dina meshref,EGY,Unknown,tennis-de-table,simple-f,NA,=17
rachel moret,SUI,Unknown,tennis-de-table,simple-f,NA,=17
orawan paranang,THA,Unknown,tennis-de-table,simple-f,NA,=17
elizabeta samara,ROU,Unknown,tennis-de-table,simple-f,NA,=17
yubin shin,KOR,Unknown,tennis-de-table,simple-f,NA,=17
petrissa solja,GER,Unknown,tennis-de-table,simple-f,NA,=17
